stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening G:\Documentos\GitHub\proyecto-primer-parcial\3erParcial\arboles\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.15986] added dtor for sub_bitmap 0B401B90, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.15989] added dtor for sub_bitmap 0B41BB18, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.15992] added dtor for sub_bitmap 0B41BC90, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.15994] added dtor for sub_bitmap 0B41BE08, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.15997] added dtor for sub_bitmap 0B41BF80, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.15999] added dtor for sub_bitmap 0B41C0F8, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16002] added dtor for sub_bitmap 0B41C270, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16004] added dtor for sub_bitmap 0B41C3E8, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16007] added dtor for sub_bitmap 0B41C560, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16009] added dtor for sub_bitmap 0B41C6D8, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16012] added dtor for sub_bitmap 0B41C850, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16014] added dtor for sub_bitmap 0B41C9C8, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16017] added dtor for sub_bitmap 0B41B8D0, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16020] added dtor for sub_bitmap 0B41CD88, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16023] added dtor for sub_bitmap 0B41D7F8, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16025] added dtor for sub_bitmap 0B41D970, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16028] added dtor for sub_bitmap 0B41D218, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16030] added dtor for sub_bitmap 0B41DAE8, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16034] added dtor for sub_bitmap 0B41D0A0, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16039] added dtor for sub_bitmap 0B41D390, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16044] added dtor for sub_bitmap 0B41D508, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16047] added dtor for sub_bitmap 0B41D680, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16049] added dtor for sub_bitmap 0B41DC60, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16051] added dtor for sub_bitmap 0B41CF28, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16054] added dtor for sub_bitmap 0B801678, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16057] added dtor for sub_bitmap 0B801210, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16059] added dtor for sub_bitmap 0B801500, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16061] added dtor for sub_bitmap 0B8026A0, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16064] added dtor for sub_bitmap 0B801C58, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16066] added dtor for sub_bitmap 0B802990, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16068] added dtor for sub_bitmap 0B8023B0, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16071] added dtor for sub_bitmap 0B801388, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16074] added dtor for sub_bitmap 0B8020C0, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16076] added dtor for sub_bitmap 0B801968, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16079] added dtor for sub_bitmap 0B802238, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16081] added dtor for sub_bitmap 0B8017F0, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16083] added dtor for sub_bitmap 0B801AE0, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16086] added dtor for sub_bitmap 0B801DD0, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16088] added dtor for sub_bitmap 0B802B08, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16091] added dtor for sub_bitmap 0B801F48, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16093] added dtor for sub_bitmap 0B802C80, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16096] added dtor for sub_bitmap 0B802528, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16098] added dtor for sub_bitmap 0B802818, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16100] added dtor for sub_bitmap 0B802DF8, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16104] added dtor for sub_bitmap 0B801098, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16107] added dtor for sub_bitmap 0B803DD8, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16112] added dtor for sub_bitmap 0B8040C8, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16115] added dtor for sub_bitmap 0B803390, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16121] added dtor for sub_bitmap 0B8037F8, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16124] added dtor for sub_bitmap 0B804998, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16127] added dtor for sub_bitmap 0B804240, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16132] added dtor for sub_bitmap 0B8043B8, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16138] added dtor for sub_bitmap 0B803F50, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16143] added dtor for sub_bitmap 0B804C88, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16149] added dtor for sub_bitmap 0B803970, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16163] added dtor for sub_bitmap 0B803218, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16169] added dtor for sub_bitmap 0B803508, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16172] added dtor for sub_bitmap 0B803C60, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16174] added dtor for sub_bitmap 0B804530, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16177] added dtor for sub_bitmap 0B8046A8, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16179] added dtor for sub_bitmap 0B804820, func 52C42243
dtor     D               dtor.c:196  _al_register_destructor          [   0.16182] added dtor for sub_bitmap 0B803AE8, func 52C42243
